product-export-2025-09-09-184120
product_id;product_name;status;external_reference;short_description;description;slug;unit;minimum_quantity_to_order;supplier;hs_code;country_of_origin;meta_title;meta_description;brand;filter_tags;search_keywords;primary_category;categories;specifications;attributes;images;variant_image;sku;option_name_1;option_value_1;option_name_2;option_value_2;option_name_3;option_value_3;option_name_4;option_value_4;supplier_sku;weight;stock;gtin;stockplace;vat_percentage;price;compare_price;purchase_price;stock_price;always_orderable;package_size;dimension_width;dimension_height;dimension_length
12095;Fälgbana 15x1.20;published;;;"<p>Fälgbana 1,20x15""</p>";falgbana-15x120;st;1.0;;;;;;;;;Moped / Scooter kategorier > Hjul;"Moped / Scooter kategorier > Hjul; Moped / Scooter kategorier > Hjul; Moped / Scooter kategorier > Hjul";;;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/xdJjjHrdPMzl6qv1742381950.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/xdJjjHrdPMzl6qv1742381950.jpeg;550030304;;;;;;;;;;900;4.00;550030304;;25;503.2;0;359;359;;1;;;
14582;Tändspole Piaggio / Gilera / mfl.;published;;;<p>Ciao<br /><br /><br /></p>;tandspole-piaggio-gilera-mfl;st;1.0;;;;;;;;;Moped / Scooter kategorier > Tändning/Generator;"Moped / Scooter kategorier > Tändning/Generator; Moped / Scooter kategorier > Tändning/Generator; Moped / Scooter kategorier > Tändning/Generator";;;"https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/jTeEo0iHcWdV29U1742382098.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/lsyjfTYZw6ZtLO41742382098.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/VkCt3QVJvbVi1Yy1742382099.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/x0C6KTFnNoUE9RA1742382100.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/nQcyVLVVEqorDgY1742382100.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/l26efzjzS2GWCZc1742382101.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/7DStLOUt3azo1tW1742382102.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/AsXZRl3nh4zuDie1742382102.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/xKN5fESRNgk5X6D1742382103.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/fDWaUhzr9n7cOUX1742382103.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/ay97y3vpno8xu3E1742382104.jpeg";;550030916;;;;;;;;;;210;3.00;550030916;;25;232;0;80.5;48.13;;1;;;
14591;kopplingslamell stål / stålplatta  Puch;published;;;"<p>kopplingslamell stål / stålplatta  Puch utf.1</p><p>OEM:&nbsp;<span style=""color: rgb(13, 27, 50); font-family: &quot;Libre Franklin&quot;, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">050.1212</span> ersättning</p><p><!-- x-tinymce/html --><p>Puch<br>DS50<br>M50<br>MS50<br>VZ50</p>
<p><br>Tunturi<br>Pappa Maxi<br>Pappa Start<br>Sport</p><br></p>";stalplatta-puch-utf1;st;1.0;;;;;;;;;Moped / Scooter kategorier > Koppling;"Moped / Scooter kategorier > Koppling; Moped / Scooter kategorier > Koppling";;;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/kRfFDB94l3IhgiO1742382104.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/kRfFDB94l3IhgiO1742382104.jpeg;550032588;;;;;;;;;;0;1.00;550032588;;25;103.2;0;62;62;;1;;;
16507;Bromsbackar 90mm (J1042) (aluminium);published;;;"<p>Bromsbackar 90mm (J1042)&nbsp;</p>
<p>Crescent Jetline /Raketer</p>
<p>Aluminiumbackar som satt i alla Nymans 90 mm nav från och med 1964 årsmodell.</p>
<p>För äldre modeller till och med 1963 årsmodell användes bromsbackar i plåt istället.&nbsp;</p>
<p>Om du är osäker på vilken årsmodell du har är det viktigt att du kollar dina bromsbackar innan du beställer för att se vilket material de är tillverkade av så att du inte blandar ihop dem.&nbsp;&nbsp;</p><p><!-- x-tinymce/html -->Mått A: 85mm<br>Mått B: 81mm<br>Bredd: 20mm<br>Passar bromstrumma med Ø = 90mm<br>Navtillverkare: Nymans<br>Motsvarar J1042<br></p><p>Crescent -1960<br>Saxoped 1134/1135/1137/1037<br>MCB (Monark &amp; Crescent) 1961-1981<br>Crescent Bruksmoped 1134/1137/1037<br>Crescent Jet-linjen Lyx/Sport 1148/1149/1049/1150/1151/1151-1<br>Crescent Mopedskoter 2013<br>Crescent Sport 1175<br>MCB Automat 1155<br>MCB Sport 1273/1278</p>
<p><br>Monark Lyx/Sport Monarped 1223/1243/1283</p>
<p><br>Mustang<br>617. 1961-1981<br>618. 1961-1974<br>Rocket 618. 1965-1967</p><br><p><br></p>";bromsbackar-90mm-j1042-aluminium;st;1.0;;;;;;;;;Moped / Scooter kategorier > Bromsdelar;"Moped / Scooter kategorier > Bromsdelar; Moped / Scooter kategorier > Hjul; Moped / Scooter kategorier > Hjul; Moped / Scooter kategorier > Hjul";;;"https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/iRSK48xyNYhbZdvNxRwz9DGyQRW4OfhoMkHgKH5R.png;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/x7p3Cp3PvNwa4b8a7fbjgIKnTsIeC3xkaYFDyjlm.png;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/lLT7erHmgw7UmYhBwBIZ8qQmS5xATFRbecxKUnUr.jpg";https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/iRSK48xyNYhbZdvNxRwz9DGyQRW4OfhoMkHgKH5R.png;550030721;;;;;;;;;;0;3.00;550030721;;25;176;0;105.6;104;;1;;;
17956;Kopplingslamell stål Sachs 50/2, 50/3 & 50/4;published;;;"<p>OEM: 0259 015 000 ersättning</p>
<p><!-- x-tinymce/html -->50/2 MA (NL/SF/X) MB, S, DK, C, D (NL) (pedals)<br>50/2 MAK (SF), K (S, DK) (kick)<br>50/2 MLA, MLB, MLC (fläkt)<br>50/3 H (kyrkp)<br>50/3 L (S) (fläkt)<br>50/3 MA (I, NL, SF, X) MB (pedals)<br>50/3 MAKF (SF, X), KF (S), BKF (S) (fotv/fartv)<br>50/3 MK (X), MAK (SF), MKA (I) (kick)<br>50/3 MLA (X, NL), MLB, LHX (handv/pedal)<br>50/3 MLFB, LFH, LFS (fotv/fläkt)<br>50/3 MLKB, MLKA (X), LKH (kick/handv)<br>50/3 NL, C (NL), D (fartv/handv/pedals)<br>50/4 CF (NL), DF (X) (pedals/fotv/fartv)<br>50/4 EKF<br>50/4 LF (NL), MLFA (NL) (pedals/fotv/fläkt)<br>50/4 MLFB, MLKAX, LKS, LKH (fotv/kick/fläkt)<br></p>";stallamell-sachs;st;1.0;;;;;;;;;Moped / Scooter kategorier > Koppling;Moped / Scooter kategorier > Koppling;;;"https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/B7btzqJUV0skGw21742404405.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/IsaJyKCdSRgvVmS7MNftt0vPCuAPP7Vby2OvYYqQ.jpg";https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/B7btzqJUV0skGw21742404405.jpeg;550030993;;;;;;;;;;0;9.00;550030993;;25;71.2;0;0;39;;1;;;
17966;Oljeplugg Sachs M12x1;published;;;"<p>Original nr:</p>
<h2 style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-size: 1.2em; font-style: italic; font-family: Arial;"">0241 029 005</h2>";oljeplugg-sachs-m12x1;st;1.0;;;;;;;;;Moped / Scooter kategorier > Motordelar;Moped / Scooter kategorier > Motordelar;;;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/w62vPG8v2JtIpgQ1742404408.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/w62vPG8v2JtIpgQ1742404408.jpeg;550030968;;;;;;;;;;0;3.00;550030968;;25;24;0;0;14.4;;1;;;
18078;Gummiband stötdämpare raket mfl;published;;;"<p>Gummiband stötdämpare raket mfl</p>
<p>Sitter på bakdämparen.</p>
<p>Ytterdiameter ca 105 mm<br />Innerdiameter ca 89 mm<br />Höjd ca 21.5 mm<br />Tjocklek ca 9 mm</p>
<p>Dessa säljs styckvis och det åtgår 2st till en moped-</p>";gummiband-stotdampare-raket-mfl;st;1.0;;;;;;;;;Moped / Scooter kategorier > Framgaffel/stötdämpare;Moped / Scooter kategorier > Framgaffel/stötdämpare;;;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/Dc9ySPb1lLn8klw1742386517.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/Dc9ySPb1lLn8klw1742386517.jpeg;550030455;;;;;;;;;;0;6.00;550030455;;25;88;0;44;44;;1;;;
18143;Dekalsats Crescent Raket 1962-;published;;;<p>Dekalsats Crescent raket 1962-</p>;dekalsats-crescent-raket-1962;st;1.0;;;;;;;;;Moped / Scooter kategorier > Dekaler / Emblem;Moped / Scooter kategorier > Dekaler / Emblem;;;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/IMFg8nHZwNSGTJh1742386524.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/IMFg8nHZwNSGTJh1742386524.jpeg;550030720;;;;;;;;;;0;8.00;550030720;;25;159.2;0;99;89;;1;;;
50226;Förgasare renoveringssats Dellorto PHBG;published;;;<p>Dellorto Phbg Reparationssats</p>;forgasare-renoveringssats-dellorto-phbg;st;1.0;;;;;;;;;Moped / Scooter kategorier > Förgasare;"Moped / Scooter kategorier > Förgasare; Moped / Scooter kategorier > Förgasare; Moped / Scooter kategorier > Förgasare; Moped / Scooter kategorier > Förgasare";;;"https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/rqn4hBhPIjZ6JBL1742386575.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/cJY8WVGhUiiTATR1742386575.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/o5tuUU4Yz26HCxx1742386575.jpeg";https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/rqn4hBhPIjZ6JBL1742386575.jpeg;550023123;;;;;;;;;;60;0.00;550023123;LA3-H2B;25;79.2;0;23.4;23.4;;1;;;
50379;Förgasare 18Mm Keihin replika  (Honda MB / MT / MTX;published;;;"<p>Förgasare 18Mm Keihin replika (Honda MB / MT / MTX)</p>
<p>Lev med munstycke strl. 120</p>";forgasare-18mm-keihin-replika-honda-mb-mt-mtx;st;1.0;;;;;;;;;Moped / Scooter kategorier > Förgasare;"Moped / Scooter kategorier > Förgasare; Moped / Scooter kategorier > Förgasare; Moped / Scooter kategorier > Stöd";;;"https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/V1N0k5Z6whqYFih1742386598.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/xs92S74ECvElOSq1742386598.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/emAnABRAwbIgGEg1742386598.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/aWNo7BXnqKQ2dsO1742386598.jpeg;https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/jbrbTR3XSv3hznw1742386598.jpeg";https://nycdn.nyehandel.se/store_f2366149-15ad-469a-9ecd-ed9f175d3e11/images/V1N0k5Z6whqYFih1742386598.jpeg;550017266;;;;;;;;;;340;0.00;550017266;AB1-E2;25;396;0;11.16;64.2;;1;;;
